id_funcionario,dni_funcionario,id_entidad,telefono,direccion
F044,SYN-DNI-46320084,E02,SYN-TEL-940422931,"SYN-DIR-Av. La Marina 813, Magdalena"
F045,SYN-DNI-42868170,E05,SYN-TEL-924183668,"SYN-DIR-Calle Los Pinos 538, Magdalena"
F046,SYN-DNI-32115033,E09,SYN-TEL-984413703,"SYN-DIR-Calle Las Camelias 353, Lince"
F047,SYN-DNI-11547992,E05,SYN-TEL-982012532,"SYN-DIR-Av. Javier Prado 658, Pueblo Libre"
F048,SYN-DNI-64040869,E01,SYN-TEL-944286633,"SYN-DIR-Av. Arequipa 455, Magdalena"
F049,SYN-DNI-33490855,E11,SYN-TEL-943877800,"SYN-DIR-Av. Los Álamos 409, Surco"
F050,SYN-DNI-56316287,E12,SYN-TEL-986025618,"SYN-DIR-Av. La Marina 910, La Molina"
F051,SYN-DNI-38715394,E02,SYN-TEL-917995444,"SYN-DIR-Av. Los Álamos 539, San Isidro"
F052,SYN-DNI-36156040,E05,SYN-TEL-980671635,"SYN-DIR-Jr. Las Begonias 444, La Molina"
F053,SYN-DNI-72040713,E04,SYN-TEL-996614792,"SYN-DIR-Jr. Las Begonias 675, La Molina"
F054,SYN-DNI-16612666,E11,SYN-TEL-950255993,"SYN-DIR-Jr. Las Begonias 839, Miraflores"
F055,SYN-DNI-61563214,E13,SYN-TEL-977888565,"SYN-DIR-Av. La Marina 256, Barranco"
F056,SYN-DNI-62275272,E13,SYN-TEL-974160183,"SYN-DIR-Av. La Marina 879, Barranco"
F057,SYN-DNI-36599401,E16,SYN-TEL-990693436,"SYN-DIR-Jr. Las Begonias 123, San Isidro"
F058,SYN-DNI-28372235,E13,SYN-TEL-913095072,"SYN-DIR-Jr. Las Begonias 460, Miraflores"
F059,SYN-DNI-10371495,E05,SYN-TEL-973494142,"SYN-DIR-Calle Las Camelias 526, Pueblo Libre"
